Report 2 - replacing NA Values with the Mean per Time Interval

- Step Mean Table:
"day"	"steps"
1	37.3825995807128
2	18.6215277777778
3	38.0607638888889
4	39.7260220125786
5	41.203125
6	41.2395833333333
7	41.4895833333333
8	24.2798414570231
9	40.9326192348008
10	35.8787997903564
11	39.7777777777778
12	48.8663194444444
13	34.3090277777778
14	44.9031053459119
15	17.6736111111111
16	35.6336805555556
17	48.2482638888889
18	43.6909722222222
19	35.8854166666667
20	25.8107638888889
21	37.5138888888889
22	58.8315972222222
23	52.2777777777778
24	39.640625
25	24.8715277777778
26	31.1458333333333
27	41.2586805555556
28	37.5711805555556
29	20.9461805555556
30	35.7381747903564
31	53.5208333333333

- Step Median = 0

